Datetime : 2021-02-05 18:03:55.463307
Iter: [5000][53/586]	TEST PSNR: ( 31.9351,  34.2949)	val_loss: ( 0.0169,  0.0137)	
Iter: [5000][54/586]	TEST PSNR: ( 34.0169,  34.2899)	val_loss: ( 0.0117,  0.0136)	
Iter: [5000][55/586]	TEST PSNR: ( 32.3460,  34.2552)	val_loss: ( 0.0194,  0.0137)	
Iter: [5000][56/586]	TEST PSNR: ( 37.1995,  34.3068)	val_loss: ( 0.0110,  0.0137)	
Iter: [5000][57/586]	TEST PSNR: ( 33.4807,  34.2926)	val_loss: ( 0.0148,  0.0137)	
Iter: [5000][58/586]	TEST PSNR: ( 36.2028,  34.3249)	val_loss: ( 0.0102,  0.0136)	
Iter: [5000][59/586]	TEST PSNR: ( 33.8230,  34.3166)	val_loss: ( 0.0138,  0.0136)	
Iter: [5000][60/586]	TEST PSNR: ( 32.2141,  34.2821)	val_loss: ( 0.0210,  0.0138)	
Iter: [5000][61/586]	TEST PSNR: ( 35.3817,  34.2999)	val_loss: ( 0.0132,  0.0138)	
Iter: [5000][62/586]	TEST PSNR: ( 34.7691,  34.3073)	val_loss: ( 0.0123,  0.0137)	
Iter: [5000][63/586]	TEST PSNR: ( 32.4427,  34.2782)	val_loss: ( 0.0181,  0.0138)	
Iter: [5000][64/586]	TEST PSNR: ( 35.0504,  34.2900)	val_loss: ( 0.0132,  0.0138)	
Iter: [5000][65/586]	TEST PSNR: ( 32.1771,  34.2580)	val_loss: ( 0.0159,  0.0138)	
Iter: [5000][66/586]	TEST PSNR: ( 32.9855,  34.2390)	val_loss: ( 0.0194,  0.0139)	
Iter: [5000][67/586]	TEST PSNR: ( 33.1519,  34.2231)	val_loss: ( 0.0153,  0.0139)	
Iter: [5000][68/586]	TEST PSNR: ( 34.3158,  34.2244)	val_loss: ( 0.0125,  0.0139)	
Iter: [5000][69/586]	TEST PSNR: ( 32.8620,  34.2049)	val_loss: ( 0.0165,  0.0139)	
Iter: [5000][70/586]	TEST PSNR: ( 35.6482,  34.2253)	val_loss: ( 0.0130,  0.0139)	
Iter: [5000][71/586]	TEST PSNR: ( 35.1425,  34.2380)	val_loss: ( 0.0114,  0.0139)	
Iter: [5000][72/586]	TEST PSNR: ( 36.9545,  34.2752)	val_loss: ( 0.0099,  0.0138)	
Iter: [5000][73/586]	TEST PSNR: ( 31.2307,  34.2341)	val_loss: ( 0.0179,  0.0139)	
Iter: [5000][74/586]	TEST PSNR: ( 34.5645,  34.2385)	val_loss: ( 0.0139,  0.0139)	
Iter: [5000][75/586]	TEST PSNR: ( 33.9817,  34.2351)	val_loss: ( 0.0132,  0.0139)	
Iter: [5000][76/586]	TEST PSNR: ( 34.8114,  34.2426)	val_loss: ( 0.0109,  0.0138)	
Iter: [5000][77/586]	TEST PSNR: ( 35.1379,  34.2541)	val_loss: ( 0.0136,  0.0138)	
Iter: [5000][78/586]	TEST PSNR: ( 33.2976,  34.2420)	val_loss: ( 0.0155,  0.0139)	
Iter: [5000][79/586]	TEST PSNR: ( 35.1019,  34.2527)	val_loss: ( 0.0138,  0.0139)	
Iter: [5000][80/586]	TEST PSNR: ( 35.3704,  34.2665)	val_loss: ( 0.0136,  0.0139)	
Iter: [5000][81/586]	TEST PSNR: ( 35.3299,  34.2795)	val_loss: ( 0.0125,  0.0138)	
Iter: [5000][82/586]	TEST PSNR: ( 33.7175,  34.2727)	val_loss: ( 0.0138,  0.0138)	
Iter: [5000][83/586]	TEST PSNR: ( 35.6441,  34.2890)	val_loss: ( 0.0134,  0.0138)	
